sentence,negativity,neutrality,positivity,compound
He said he thought I was a nice girl and offered to teach me some tips in exchange for a meal ,0.0,0.859,0.141,0.4215
This made me even more suspicious so I turned him down ,0.237,0.763,0.0,-0.4201
He proceeded to guilt-trip me suggesting that this was why people found it difficult to be friends with me ,0.111,0.752,0.137,0.1531
I pointed out that I recognized the phrases and words he used from previous encounters after which he stopped messaging me ,0.095,0.905,0.0,-0.2263
The following day I attempted to contact Synergix to inquire about an employee named Alan working as a project manager ,0.0,1.0,0.0,0.0
however the person I spoke to informed me that no such position existed ,0.167,0.833,0.0,-0.296
"I connected with a person named ano on the cab app on June 3, 2023. ",0.0,1.0,0.0,0.0
"We had normal conversations and on June 9, he asked to exchange phone numbers and continue chatting on whatsapp ",0.0,1.0,0.0,0.0
He would talk about his daily life and work often using WhatsApp calls to chat ,0.0,1.0,0.0,0.0
According to him he is from Malaysia and studied at into International University and College malaysian ,0.0,1.0,0.0,0.0
He claimed to own a 3.7 million worth condominium near Orchard and a care which he purchased from his aunt who migrated to australian ,0.0,0.797,0.203,0.6249
ano shared that he worked under his boss david who is the head of the Department of SEA Ltd. ,0.0,0.882,0.118,0.34
He claimed to have connections with david allowing him to invest in private equity projects exclusive to high-end members ,0.0,0.923,0.077,0.128
These projects involved hub projects and more ,0.0,1.0,0.0,0.0
About a week into chatting on whatsapp he suddenly informed me that he urgently needed to go to koala Lumpur as his grandmother had fallen and hit her head ,0.085,0.915,0.0,-0.3612
He showed me a picture of his grandmother admitted to Hospital Pantai KL. ,0.0,0.887,0.113,0.1027
A few days later he shared another picture of his grandmother after her operation ,0.0,0.833,0.167,0.34
He then asked for my help to visit an hub worksite and take photos to give him reassurance regarding his $0.5 million investment in the project's progress ,0.0,0.75,0.25,0.7906
"later he claimed that he managed to get David's help to let me join the private equity platform called ""SoftUni"" as a token of appreciation ",0.0,0.719,0.281,0.802
He immediately insisted that I join without allowing me time to consider ,0.0,0.82,0.18,0.296
The registration process required my legal name and NRIC. ,0.0,0.842,0.158,0.128
The next day ano informed me about small-scale projects that I could join each requiring a passcode for access ,0.0,0.879,0.121,0.296
ano recommended three successful investments and I received funds through withdrawals ,0.0,0.588,0.412,0.6808
"however in the latest investment on June 30, 2023, he informed me that my funds were frozen due to an incorrect password entered during the withdrawal process even though I'm confident that I entered the correct password ",0.0,0.888,0.112,0.5106
I reached out to customer service for resolution and was told that I needed to transfer the same amount to unfreeze my funds ,0.0,0.935,0.065,0.1027
ano convinced me to follow the advice from customer service ,0.0,0.769,0.231,0.4019
After transferring the funds the initial amount was unfrozen ,0.0,1.0,0.0,0.0
When I tried to withdraw the entire amount the withdrawal was rejected ,0.246,0.672,0.082,-0.4939
"I contacted customer service and was informed that I needed to transfer an additional amount of $50,000 to perform the withdrawal ",0.0,0.942,0.058,0.0258
At this point I realized it was a scam and conducted some research on scam alerts ,0.381,0.619,0.0,-0.8126
I found similar stories with the same modus operandi ,0.0,1.0,0.0,0.0
moreover I confirmed that this person ano was the same person mentioned by a victim who shared her real story and mentioned that this guy actually belongs to an individual named Felix Go (@HelixGo on Instagram who got impersonated). ,0.053,0.886,0.061,0.0772
This has been an expensive lesson but I want to urge everyone to be extra cautious and not believe anyone who asks you to invest immediately without giving you time to consider ,0.124,0.833,0.043,-0.4027
A person with the online name june lee initially contacted me through Facebook and expressed interest in being friends ,0.0,0.724,0.276,0.7269
"Afterward, they added me on whatsapp ",0.0,1.0,0.0,0.0
Within One day of chatting they shared how much they could confide in me and requested my assistance in fulfilling some orders for their part-time job ,0.0,0.912,0.088,0.34
"This ""part-time job involved placing orders for Louis Vuitton products as part of a sales campaign ",0.0,1.0,0.0,0.0
They claimed that a third-party merchant would reimburse me the principal amount plus a commission for any orders placed with no physical delivery of the products ,0.087,0.913,0.0,-0.296
Although I voiced my suspicions about the scheme they assured me that this was a common practice in e-commerce to artificially boost their sales figures ,0.09,0.722,0.188,0.4019
subsequently the person prompted me to message a Whatsapp business account called louis Vuitton online service Knowing this was clearly a scam due to the speed at which the close confidant relationship was achieved i decided to drag my feet and terminate the long con ,0.118,0.825,0.057,-0.4404
At that point the tone of the person claiming to be my lover june lee abruptly changed and they requested that I stop talking to them and not contact them again ,0.065,0.824,0.112,0.3818
I was contacted on Telegram by a girl named jennifer ,0.0,1.0,0.0,0.0
She asked if I was interested in a job offer and if so someone else would contact me on WhatsApp in a few hours or days ,0.0,0.891,0.109,0.4019
"Afterward, Jennifer's account was deleted ",0.0,1.0,0.0,0.0
later another girl named Wei En contacted me via whatsapp ,0.0,1.0,0.0,0.0
She sent me the job description and attempted to engage in personal conversations multiple times ,0.0,0.854,0.146,0.34
however I ignored her and fabricated fake stories including a false name and age ,0.351,0.649,0.0,-0.6597
"Wei En informed me that the ""position"" they were offering had a salary of $500 for every 5 days with additional bonuses ranging from $50 to $200. ",0.0,0.87,0.13,0.5574
It sounded appealing right ,0.0,1.0,0.0,0.0
"When I asked if I needed to go to the office Wei En replied i think working from home is better for you so you don't have to quit your job."" ",0.0,0.903,0.097,0.4404
When I agreed to proceed Wei En mentioned that I would need to undergo training ,0.0,0.851,0.149,0.2732
She added me to a group that was filled with scammers ,0.0,1.0,0.0,0.0
She then sent me a link and asked me to create an account ,0.0,0.84,0.16,0.2732
"however after creating the account she requested that I log out and use her ""trainee"" account instead ",0.0,0.872,0.128,0.296
"While in her account I was assigned various ""tasks,"" which involved completing surveys ",0.0,1.0,0.0,0.0
For each survey I completed I would earn 1% of the amount specified on the survey ,0.0,1.0,0.0,0.0
"however during the surveys I encountered something called survey rewards,"" which required me to deposit my own money to complete the surveys ",0.0,1.0,0.0,0.0
During the training the person who contacted me via WhatsApp would assist in depositing the money ,0.0,1.0,0.0,0.0
Only after the training was completed did they disappear with my money ,0.147,0.853,0.0,-0.2263
scammers hello ,0.0,1.0,0.0,0.0
Just wanted to inform you that I changed my number ,0.0,0.86,0.14,0.0772
Contact me using this new number next time ,0.0,0.843,0.157,0.0772
me Who are you ,0.0,1.0,0.0,0.0
scammers huh you don't remember ,0.0,1.0,0.0,0.0
I only changed my number not my voice ,0.0,0.822,0.178,0.0772
me So what ,0.0,1.0,0.0,0.0
I genuinely don't remember ,0.0,1.0,0.0,0.0
Just tell me who you are ,0.0,1.0,0.0,0.0
scammers nevermind I'll send you a WhatsApp message ,0.0,1.0,0.0,0.0
me No need I won't transfer any money to you ,0.216,0.784,0.0,-0.296
Hang up ,0.0,1.0,0.0,0.0
"A few days ago someone called claiming to be my old friend mri Chua, who stayed in malaysian ",0.0,0.833,0.167,0.4939
"He said he was in Singapore opening a restaurant at Northpoint, with the opening ceremony scheduled for this sunday ",0.0,1.0,0.0,0.0
When I asked for the address he mentioned losing his wallet and phone in a restroom and needing to make a police report ,0.12,0.88,0.0,-0.3818
"today on July 6th, he called again saying he couldn't find his wallet and was out of money ",0.0,1.0,0.0,0.0
He asked me to send him some money citing our longstanding friendship ,0.0,0.791,0.209,0.4404
I agreed but wanted to confirm his identity by asking a few simple questions about our shared experiences and work ,0.0,0.775,0.225,0.5647
He avoided answering and when I mentioned meeting at China Town Complex Hawker center he abruptly ended the call ,0.124,0.876,0.0,-0.34
I discovered that both calls came from the same Singaporean number 88536095. ,0.0,0.885,0.115,0.0772
"I contacted my friend mri Chua, who informed me he was in koala Lumpur, hadn't visited singapore and hadn't contacted me ",0.0,0.856,0.144,0.4939
He confirmed that this was a scam ,0.425,0.575,0.0,-0.5719
I attempted to file a police report at Cantonment Police Station but left as there was only one service counter available opting to use the e-service for reporting instead ,0.0,1.0,0.0,0.0
The caller will somehow know your first name speak in a mixture of Mandarin and english and not identify themselves ,0.0,1.0,0.0,0.0
They will ask why you have forgotten their voice which is an obvious impersonation scam ,0.301,0.699,0.0,-0.6808
It is best to hang up and block the number right away ,0.167,0.517,0.316,0.3818
I received calls and messages offering me an opportunity to make money by writing reviews promising a payment of S$15. ,0.0,0.744,0.256,0.6705
They then presented another moneymaking method involving advanced tasks ,0.0,0.8,0.2,0.25
These tasks were assigned to groups of 3-4 people and although it seemed like random selection I suspected the others were their team members ,0.075,0.827,0.098,0.1531
"To participate in the advanced task they asked me to transfer S$800, with a promise of S$1040 in return ",0.0,0.788,0.212,0.5106
"The second task required an investment of S$3999, which they claimed would yield S$6000. ",0.0,1.0,0.0,0.0
They added an additional task to recover all my money increasing the payment to S$9999. ,0.0,1.0,0.0,0.0
I refused to pay at this point but they informed me that I couldn't withdraw my money halfway ,0.167,0.833,0.0,-0.2023
To retrieve my funds I somehow managed to arrange the large sum they requested ,0.0,1.0,0.0,0.0
however they used the excuse that I had delayed the task demanding an additional S$15000 to recover all my money ,0.18,0.758,0.062,-0.3612
I have chat messages as proof of our interactions ,0.0,1.0,0.0,0.0
I realize I was foolish to fall for their scam but I hope the police can assist me in recovering my money and putting an end to these scams that deceive hardworking individuals ,0.305,0.602,0.093,-0.8316
I met a guy on a social app who offered to teach me about investing ,0.0,1.0,0.0,0.0
We moved our conversations to telegram where he introduced me to two apps crypto.com and Max Magic Exchange (MME). ,0.0,1.0,0.0,0.0
He seemed friendly and helpful providing step-by-step instructions on how to use the apps ,0.0,0.667,0.333,0.7184
He claimed to have two years of trading experience on MME and said he learned about investing from his uncle whom he currently worked for in singapore ,0.0,1.0,0.0,0.0
He presented himself as a Taiwanese looking for new local friends.As we continued interacting he encouraged me to invest larger amounts on MME after showing me a few successful investments ,0.0,0.805,0.195,0.743
however I became suspicious due to several occurrences:He strongly advocated for mme even when I raised concerns about the lack of information on the site and received no response from their customer service.Whenever I requested to withdraw profits and my initial investment he threatened me with timed penalties often within 7 days). ,0.175,0.737,0.088,-0.6124
For instance he asked me to deposit a larger sum to avoid a penalty deduction of 30% to 50% from my account balance.He consistently requested larger and more absurd deposits each time.Every time I tried to withdraw my funds he came up with ridiculous excuses to prevent the withdrawal ,0.151,0.806,0.043,-0.7579
These reasons ranged from not having enough investment activities logged insufficient deposits for the requested amount and even a demand for a 25% national tax payment on my total earnings ,0.053,0.947,0.0,-0.128
He also claimed that my earnings were too significant to be transferred out and required an additional deposit.I sincerely hope that this warning reaches potential victims before any disastrous consequences occur ,0.207,0.577,0.216,-0.1531
"unfortunately I came across a similar cautionary tale posted by ""Anonymous"" on June 2, 2023) too late ",0.146,0.854,0.0,-0.34
Please be cautious and avoid blind investments ,0.543,0.259,0.198,-0.4588
Someone contacted me claiming to be a critic of Pacific View media and asked me to complete a movie-related survey ,0.11,0.89,0.0,-0.2732
They mentioned that I would receive S$16.6 as compensation ,0.0,1.0,0.0,0.0
After completing the survey I informed them that I didn't have PayNow which they requested for payment). ,0.0,1.0,0.0,0.0
I told them not to send me the money ,0.0,1.0,0.0,0.0
In response they insisted that I only needed to provide my PayNow details to receive the payment and asked me to collect it ,0.0,1.0,0.0,0.0
I reiterated that I didn't have PayNow and they suggested that I register for it questioning why I didn't already have it and asking for my age ,0.06,0.94,0.0,-0.1027
I explained that I was a teenager and didn't have a job which is true ,0.0,0.781,0.219,0.4215
They appeared slightly annoyed and said they wouldn't bother me if I didn't want to use PayNow. ,0.19,0.7,0.11,-0.1263
I pointed out that their country code indicated nigerian but they didn't respond to that message ,0.0,1.0,0.0,0.0
"I met someone named ano on the cab app on June 15, 2023. ",0.0,1.0,0.0,0.0
"We had normal conversations and on June 18, he asked to switch to WhatsApp and shared that his name is Weijie. ",0.0,0.893,0.107,0.34
Everything seemed fine and he would talk about his daily life and family ,0.0,0.87,0.13,0.2023
He claimed to have studied a double degree in Business Management and Food Sciences at the University of sydney ,0.0,1.0,0.0,0.0
He originally hails from Malaysia but moved to Singapore seven years ago with the intention of becoming a permanent resident by the end of the year.He mentioned having an aunt who is a doctor in Singapore and stated that he runs his own company located at Aljunied road ,0.0,1.0,0.0,0.0
He also mentioned living at Ascentia sky Alexander View.During our conversations he mentioned being a close friend of David chen the cofounder of Sea group and through his connections he could invest in private equity involving hub projects and more ,0.0,0.922,0.078,0.4939
A week after chatting on whatsapp he suddenly informed me that he needed to urgently go to koala Lumpur as his grandma had fallen and hit her head ,0.088,0.912,0.0,-0.3612
"Despite this he asked for my help to visit an hub to worksite and take some photos so that he could confidently invest $500,000 in the project ",0.0,0.812,0.188,0.7003
"Later that evening he told me that he managed to get David's help to grant access to an app called SoftUni, which could only be downloaded through a link he provided and via van since the app isn't available on the Apple Store in singapore ",0.0,0.89,0.11,0.6369
"The app registration required my legal name and NRIC.Three successful investments were made for projects recommended by Weijie, and funds were returned to me through withdrawals ",0.0,0.764,0.236,0.7269
"however in the latest investment on June 30, 2023, he informed me that my funds were frozen due to an incorrect password entered during the withdrawal process even though I'm certain I didn't make a mistake ",0.0,0.856,0.144,0.5
I reached out to customer service for resolution and was told that I needed to transfer the same amount of investment before my account could be unfrozen and my password changed ,0.0,0.952,0.048,0.1027
At this point I became convinced it was a scam and did some research on scam alerts finding similar modus operandi ,0.284,0.613,0.103,-0.6908
furthermore I confirmed that the photos Weijie had sent of himself actually belonged to an individual named Felix Go (@helixgo on Instagram).This has been an expensive lesson for me but I want to urge everyone to be cautious when receiving photos from individuals as they could be stolen from someone else ,0.111,0.862,0.027,-0.6652
also don't be fooled by apps that may appear legitimate but are actually scams ,0.277,0.639,0.085,-0.6816
I met a guy in cab between May and june ,0.0,1.0,0.0,0.0
"He claims to live in Holland ve works as a project manager at Wizlynx, and every day at 10pm, he says he's busy generating reports ",0.0,1.0,0.0,0.0
He sent me some to videos but didn't ask me to invest because I told him I'm broke and scammers won't get anything from mei was skeptical and noticed something suspicious in his meal photo so I asked him if he's a scammers ,0.211,0.789,0.0,-0.872
This made him angry and we had a quarrel ,0.32,0.68,0.0,-0.5106
He insisted that he didn't ask me for money and had no reason to scam me ,0.296,0.704,0.0,-0.7096
The next day he flew to Jakarta and claimed that his camera functions were switched off for security reasons ,0.0,0.882,0.118,0.34
After that he became unreachable until three weeks later when he suddenly reappeared and started asking for sexy pictures saying it was a small act of romance ,0.0,0.774,0.226,0.7906
I refused and suggested meeting up to establish a genuine relationship ,0.216,0.784,0.0,-0.296
however he didn't share any other contact details or social account IDs when I asked for them ,0.112,0.888,0.0,-0.2235
The next day he told me he wasn't interested in being in a relationship with anyone ,0.139,0.861,0.0,-0.3089
"When I called him a scammer again he blocked me.After many days I discovered that his Telegram account had changed to aziel_tan1028, and I suspect he's trying to scam people with a new identity ",0.235,0.765,0.0,-0.7906
He called me and refused to reveal his identity but when I mentioned my friend's name he confirmed it was him ,0.078,0.922,0.0,-0.1531
Two days later he texted me asking how to update his bank account with a new number ,0.0,0.92,0.08,0.0772
I assisted him ,0.0,1.0,0.0,0.0
then he approached me claiming he needed to transfer funds to a contractor but couldn't due to a waiting period for changing account details ,0.0,1.0,0.0,0.0
He asked for my help and provided the number of a person named Ivan at 90368??? ,0.0,0.741,0.259,0.5484
pay NOW). ,0.583,0.417,0.0,-0.1027
I didn't comply with his request ,0.0,1.0,0.0,0.0
He then texted me from two different numbers 84612876 and 93435167. ,0.0,1.0,0.0,0.0
He showed me a receipt for the contractor's invoice but he deleted it before I could take a screenshot ,0.0,1.0,0.0,0.0
I also reported the incident through the ScamShield app ,0.0,1.0,0.0,0.0
I met a girl named 晓晓 on telegram and we agreed to meet at 335 Sembawang close ,0.0,0.87,0.13,0.2732
When I reached there she asked for my phone number claiming that her boss needed to contact me to verify that I wasn't from the police ,0.0,0.891,0.109,0.1779
Her boss called me and demanded that I purchase a $150 iPhone gift card ,0.128,0.676,0.196,0.25
Recognizing it as a scam I immediately told him to cancel the entire transaction ,0.363,0.637,0.0,-0.6908
After hanging up like other victims have mentioned he continued to call and send threatening messages/videos. ,0.269,0.613,0.118,-0.4939
I have blocked all the numbers starting with +60121... ,0.231,0.769,0.0,-0.2732
I was contacted on WhatsApp by someone named Bridget Smith from AngusOne Staffing Employment agency offering part-time work from home to earn extra money ,0.0,1.0,0.0,0.0
They claimed I could make CAD$50-80 per hour or CAD$300-600 per week ,0.0,1.0,0.0,0.0
When I asked for more details I was referred to gavin ,0.0,1.0,0.0,0.0
Gavin was not very forthcoming in answering my questions but mentioned that the job involved optimizing data for Priceline. ,0.0,0.818,0.182,0.6124
Once I agreed to try the job I was instructed to download a crypto wallet app like Newton from the app store ,0.0,0.787,0.213,0.5574
then I was directed to visit a website (https://tech-pricelineonline.com) and create a Priceline Work Account using the invitation code 18950768. ,0.0,0.884,0.116,0.2732
"After creating my account I was given a login with the username ""Gavin1002"" and password ""123456"" to access the training ",0.0,0.885,0.115,0.296
During the training I encountered combination tasks where the hotel prices would combine and cause a negative balance in my account ,0.171,0.829,0.0,-0.5719
To clear the negative balance I was asked to deposit additional funds ,0.242,0.588,0.17,-0.2732
"The tasks for the vip 1"" level involved optimizing data for 40 hotels and I encountered several combination tasks that required me to deposit small amounts of money to clear the negative balances ",0.091,0.69,0.219,0.6369
"After completing tasks for 5 days I received $800 us as my ""salary"" in my account ",0.0,1.0,0.0,0.0
unfortunately I forgot to withdraw this amount before starting the next set of tasks ,0.167,0.833,0.0,-0.34
As a results the value of the hotels increased leading to increased profit ,0.0,0.457,0.543,0.8176
I contacted customer service on the platform and they assured me that the chances of encountering another combination task were almost zero ,0.0,0.815,0.185,0.5106
Believing them I proceeded to deposit the money ,0.0,1.0,0.0,0.0
"however when I reached the 40th task of that set I encountered another combination task that required me to deposit $10,600 us to clear the negative balance ",0.125,0.741,0.135,-0.1779
I was told that this would be the last task and I could withdraw all my money after completing it ,0.0,1.0,0.0,0.0
Before depositing the money I asked customer service if there was any possibility of encountering further obstacles and they assured me there were none ,0.1,0.805,0.096,-0.0258
"however after depositing the money and clicking submit I was upgraded to vip 2"" due to the amount deposited ",0.0,0.837,0.163,0.5106
"The vip 2"" task sets required 50 individual tasks per set ",0.0,0.752,0.248,0.5106
"As I continued with the tasks I encountered another combination task that would require me to deposit an additional $23,034.31 to complete the set ",0.0,1.0,0.0,0.0
At this point I refused to deposit any more money and customer service mentioned they would negotiate with the Merchant and the Platform to find a resolution ,0.084,0.916,0.0,-0.296
Realizing my mistake I have decided to cut my losses ,0.545,0.455,0.0,-0.7351
I understand that the chances of recovering any of my money are extremely low ,0.158,0.724,0.118,-0.1513
I connected with a girl named Lisa on telegram and she suggested meeting at the Midview located at 1??? ,0.0,1.0,0.0,0.0
"Upper Serangoon Rd, Singapore 534???. ",0.0,1.0,0.0,0.0
Upon reaching there she asked me for my phone number claiming that a validation call was necessary because she was a 'student'. ,0.0,0.853,0.147,0.2732
subsequently a person claiming to be from 369 contacted me and refused to accept cash ,0.131,0.714,0.155,0.1027
instead they instructed me to go to the nearest 7-11 store and purchase a $200 iTunes gift card ,0.0,0.847,0.153,0.4404
They asked me to take a picture of the code and provide it to them ,0.0,1.0,0.0,0.0
At this point I became suspicious and decided to block both Lisa and the person contacting me ,0.278,0.722,0.0,-0.6597
however the person continued to use multiple unknown numbers to send me pictures of bloodied and beaten up individuals along with threats towards my family ,0.196,0.804,0.0,-0.6808
Be careful guys ,0.0,0.556,0.444,0.1531
I encountered an individual named Dexter oh Wei Ming on the dating app CMB. ,0.0,1.0,0.0,0.0
He claimed to be a business development manager with or status in singapore ,0.0,1.0,0.0,0.0
We continued our conversation on telegram where he used charming messages to gain my trust ,0.0,0.533,0.467,0.8885
He shared various aspects of his life including family work and expressed a strong desire for a relationship ,0.0,0.607,0.393,0.8126
He even mentioned introducing me to his family in taxman desa koala Lumpur. ,0.0,1.0,0.0,0.0
One day he asked for a favor to help with site reconnaissance for a to project as part of a private crowdfunding initiative ,0.0,0.769,0.231,0.6597
He then informed me that his boss had secured me a spot on a private crowdfunding app operated by SEA limited ,0.088,0.787,0.125,0.2023
He guided me through the account setup process and instructed me on how to proceed with investments and projects ,0.0,1.0,0.0,0.0
Although initially hesitant I eventually compromised and transferred an initial amount of $500 into the account ,0.125,0.875,0.0,-0.25
"Over time the scammer exploited my vulnerabilities and doubts increasing the requested amount from $500 to $30,000. ",0.327,0.673,0.0,-0.7003
"unfortunately I realized I had been deceived and was unable to retrieve the deposited amount or the supposed ""profits"" as the scammer had frozen the fraudulent account ",0.279,0.721,0.0,-0.8176
"The fake customer service officer in the fraudulent app demanded an additional $15,000 to unfreeze the account for identity verification ",0.325,0.675,0.0,-0.802
"furthermore my personal details including my name NRIC, and bank account information were entered into the fraudulent account ",0.158,0.842,0.0,-0.4939
Please exercise caution if you encounter someone using the cab account and claiming to be oh Wei Ming/Khoo Wei ming ,0.0,0.892,0.108,0.3182
The photos used by the scammer were of low resolution and extracted from the internet impersonating someone else ,0.11,0.89,0.0,-0.2732
Beware of a fraudulent scheme involving 'SingSale' marketing ,0.348,0.652,0.0,-0.4939
I was contacted by individuals who provided a link and offered $3 for each like ,0.0,0.828,0.172,0.3612
initially I earned $9 from this arrangements ,0.0,1.0,0.0,0.0
subsequently they sent another link with a mission to make a purchase claiming a merchant would provide a $17 profit ,0.0,0.838,0.162,0.4404
Tempted by the offer I proceeded ,0.0,1.0,0.0,0.0
then they introduced another link describing it as a group project involving four people ,0.0,1.0,0.0,0.0
I was asked to choose a package and selected the second-lowest option priced at $277. ,0.0,1.0,0.0,0.0
"The participation required three to four purchases the first one costing $277, the second one $999, and the third one $3,988. ",0.0,1.0,0.0,0.0
This raised concerns and I questioned their intentions ultimately deciding to stop at the second purchase ,0.217,0.783,0.0,-0.3818
I transferred funds to the accounts they provided for payments.. ,0.0,1.0,0.0,0.0
"unfortunately I ended up losing a total amount of S$1,287.00. ",0.455,0.545,0.0,-0.6124
Please be cautious and avoid falling victim to such scams ,0.638,0.23,0.132,-0.7783
Beware of a scam involving a survey sent through whatsapp ,0.346,0.654,0.0,-0.5719
initially I thought it was a harmless survey and decided to participate ,0.0,0.818,0.182,0.25
"however they redirected me to Telegram and instructed me to add a user with the username ""Millo335"" and send a quote - ""TY62704"". ",0.0,1.0,0.0,0.0
surprisingly this individual transferred sad 15 to me via PayNow after I provided them with my phone number ,0.15,0.68,0.17,-0.1531
later I went online to research the company this person claimed to represent and discovered that it was indeed a scam ,0.171,0.829,0.0,-0.5719
It's essential to exercise caution and remain vigilant when sharing personal information or engaging in such activities online ,0.0,0.685,0.315,0.7096
Editor's note If something seems suspicious it is best to verify the legitimacy of the organisation before proceeding further ,0.105,0.717,0.177,0.4019
The night before the scammer will call you and claim to be someone you know like Yenny. ,0.0,0.865,0.135,0.3612
They will tell you that they lost their wallet and phone and the number they are using is their new one ,0.102,0.841,0.058,-0.25
The scammers voice will sound exactly like the real person further convincing you that it is indeed Yenny. ,0.0,0.755,0.245,0.6369
They will instruct you to delete the old number and use this new one instead ,0.0,0.915,0.085,0.0772
additionally they will inform you that they are no longer working at their previous restaurant and have opened a new cafe with a partner ,0.095,0.905,0.0,-0.296
The scammers have access to personal information about the real person such as their workplace ,0.0,1.0,0.0,0.0
If you've not vigilant enough you may easily fall for their deceptive tactics just like I did ,0.078,0.669,0.252,0.5239
i am one such victim.) ,0.0,1.0,0.0,0.0
"The following day in the afternoon, the scammer will call again claiming that their supplier is outside their cafe ",0.0,1.0,0.0,0.0
however due to their lost phone they cannot make the payment to the supplier ,0.15,0.85,0.0,-0.3182
They will then ask for your help to use PayNow to transfer money to the supplier ,0.0,0.847,0.153,0.4019
The scammer will request their business partner to provide you with the supplier's PayNow number and ask for your assistance ,0.0,0.936,0.064,0.0772
The most critical part of the scam is when they promise to repay you within two hours ,0.279,0.62,0.102,-0.6115
This is a ploy to exploit our kindness ,0.149,0.532,0.319,0.3818
Please remember not to transfer any money to them ,0.0,0.777,0.223,0.3182
I recently received a message on WhatsApp from a person named Rosa at Indeed Recruitment company who recommended a new job opportunity ,0.0,0.777,0.223,0.5574
Shortly after I was contacted by a woman named Alethea/Alecia who provided details about an online part-time job ,0.0,1.0,0.0,0.0
The job seemed promising offering an attractive base salary along with commission ,0.0,0.641,0.359,0.6808
It involved spending approximately one hour each day clicking a button to submit data ,0.0,1.0,0.0,0.0
initially the job seemed legitimate as I was able to withdraw money quickly after completing each task ,0.0,1.0,0.0,0.0
The requirement was to complete a minimum of two tasks per day in order to register it as a working day ,0.0,1.0,0.0,0.0
however on the second day while performing the tasks I noticed some unusually high-value tasks appearing sporadically which required additional funds to unlock ,0.0,1.0,0.0,0.0
